market,date,block,mcp_rs_mwh
DAM,2026-05-13,80,10000.0
DAM,2026-05-13,81,10000.0
DAM,2026-05-13,82,10000.0
DAM,2026-05-13,83,10000.0
DAM,2026-05-13,84,10000.0
DAM,2026-05-13,85,10000.0
DAM,2026-05-13,86,10000.0
DAM,2026-05-13,87,10000.0
DAM,2026-05-13,88,10000.0
DAM,2026-05-13,89,10000.0
DAM,2026-05-13,90,10000.0
DAM,2026-05-13,91,10000.0
DAM,2026-05-13,92,10000.0
DAM,2026-05-13,93,10000.0
DAM,2026-05-13,94,10000.0
DAM,2026-05-13,95,10000.0
DAM,2026-05-13,96,10000.0
DAM,2026-05-14,1,10000.0
DAM,2026-05-14,2,10000.0
DAM,2026-05-14,3,10000.0
DAM,2026-05-14,4,10000.0
DAM,2026-05-14,5,10000.0
DAM,2026-05-14,6,10000.0
DAM,2026-05-14,7,10000.0
DAM,2026-05-14,8,10000.0
DAM,2026-05-14,9,10000.0
DAM,2026-05-14,10,10000.0
DAM,2026-05-14,11,10000.0
DAM,2026-05-14,12,10000.0
DAM,2026-05-14,13,10000.0
DAM,2026-05-14,14,10000.0
DAM,2026-05-14,15,10000.0
DAM,2026-05-14,16,10000.0
DAM,2026-05-14,17,10000.0
DAM,2026-05-14,18,8489.52
DAM,2026-05-14,19,8100.61
DAM,2026-05-14,20,8087.77
DAM,2026-05-14,21,4489.12
DAM,2026-05-14,22,4395.86
DAM,2026-05-14,23,4539.62
DAM,2026-05-14,24,5500.53
DAM,2026-05-14,25,5600.8
DAM,2026-05-14,26,5600.25
DAM,2026-05-14,27,4769.41
DAM,2026-05-14,28,4259.12
DAM,2026-05-14,29,3890.84
DAM,2026-05-14,30,3549.86
DAM,2026-05-14,31,2850.92
DAM,2026-05-14,32,2429.87
DAM,2026-05-14,33,1949.1
DAM,2026-05-14,34,1999.92
DAM,2026-05-14,35,1961.85
DAM,2026-05-14,36,1974.51
DAM,2026-05-14,37,1618.2
DAM,2026-05-14,38,1618.92
DAM,2026-05-14,39,1649.99
DAM,2026-05-14,40,1710.38
DAM,2026-05-14,41,1580.31
DAM,2026-05-14,42,1563.83
DAM,2026-05-14,43,1563.99
DAM,2026-05-14,44,1566.02
DAM,2026-05-14,45,1563.78
DAM,2026-05-14,46,1563.89
DAM,2026-05-14,47,1580.68
DAM,2026-05-14,48,1566.43
